brand,panel_model,frame,mentioned,rank
Audio-Technica,gpt-4o,q6_iconic,0,
Stax,gpt-4o,q6_iconic,0,
Koss,gpt-4o,q6_iconic,0,
Audeze,gpt-4o,q6_iconic,0,
HiFiMan,gpt-4o,q6_iconic,0,
Focal,gpt-4o,q6_iconic,0,
Meze,gpt-4o,q6_iconic,0,
ZMF Headphones,gpt-4o,q6_iconic,0,
Spirit Torino,gpt-4o,q6_iconic,0,
Final Audio,gpt-4o,q6_iconic,0,
Dan Clark Audio,gpt-4o,q6_iconic,0,
Sennheiser,gpt-4o-mini,q6_iconic,1,5
Beyerdynamic,gpt-4o-mini,q6_iconic,0,
Denon,gpt-4o-mini,q6_iconic,0,
Grado,gpt-4o-mini,q6_iconic,0,
Sony,gpt-4o-mini,q6_iconic,1,2
Audio-Technica,gpt-4o-mini,q6_iconic,1,6
Stax,gpt-4o-mini,q6_iconic,0,
Koss,gpt-4o-mini,q6_iconic,0,
Audeze,gpt-4o-mini,q6_iconic,0,
HiFiMan,gpt-4o-mini,q6_iconic,0,
Focal,gpt-4o-mini,q6_iconic,1,10
Meze,gpt-4o-mini,q6_iconic,0,
ZMF Headphones,gpt-4o-mini,q6_iconic,0,
Spirit Torino,gpt-4o-mini,q6_iconic,0,
Final Audio,gpt-4o-mini,q6_iconic,0,
Dan Clark Audio,gpt-4o-mini,q6_iconic,0,
Sennheiser,gemini-2.5-flash,q6_iconic,0,
Beyerdynamic,gemini-2.5-flash,q6_iconic,0,
Denon,gemini-2.5-flash,q6_iconic,0,
Grado,gemini-2.5-flash,q6_iconic,0,
Sony,gemini-2.5-flash,q6_iconic,0,
Audio-Technica,gemini-2.5-flash,q6_iconic,0,
Stax,gemini-2.5-flash,q6_iconic,0,
Koss,gemini-2.5-flash,q6_iconic,0,
Audeze,gemini-2.5-flash,q6_iconic,0,
HiFiMan,gemini-2.5-flash,q6_iconic,0,
Focal,gemini-2.5-flash,q6_iconic,0,
Meze,gemini-2.5-flash,q6_iconic,0,
ZMF Headphones,gemini-2.5-flash,q6_iconic,0,
Spirit Torino,gemini-2.5-flash,q6_iconic,0,
Final Audio,gemini-2.5-flash,q6_iconic,0,
Dan Clark Audio,gemini-2.5-flash,q6_iconic,0,
Sennheiser,gemini-2.5-flash-lite,q6_iconic,1,
Beyerdynamic,gemini-2.5-flash-lite,q6_iconic,1,
Denon,gemini-2.5-flash-lite,q6_iconic,0,
Grado,gemini-2.5-flash-lite,q6_iconic,0,
Sony,gemini-2.5-flash-lite,q6_iconic,1,
Audio-Technica,gemini-2.5-flash-lite,q6_iconic,1,
Stax,gemini-2.5-flash-lite,q6_iconic,0,
Koss,gemini-2.5-flash-lite,q6_iconic,0,
Audeze,gemini-2.5-flash-lite,q6_iconic,0,
HiFiMan,gemini-2.5-flash-lite,q6_iconic,0,
Focal,gemini-2.5-flash-lite,q6_iconic,0,
Meze,gemini-2.5-flash-lite,q6_iconic,0,
ZMF Headphones,gemini-2.5-flash-lite,q6_iconic,0,
Spirit Torino,gemini-2.5-flash-lite,q6_iconic,0,
Final Audio,gemini-2.5-flash-lite,q6_iconic,0,
Dan Clark Audio,gemini-2.5-flash-lite,q6_iconic,0,
